Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel (excluant la pension de la SV et le SRG) De,Revenu annuel (excluant la pension de la SV et le SRG) À,Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
0,23.99,1065.47,1778.81,1850.14
24,47.99,1064.47,1777.81,1849.14
48,71.99,1063.47,1776.81,1848.14
72,95.99,1062.47,1775.81,1847.14
96,119.99,1061.47,1774.81,1846.14
120,143.99,1060.47,1773.81,1845.14
144,167.99,1059.47,1772.81,1844.14
168,191.99,1058.47,1771.81,1843.14
192,215.99,1057.47,1770.81,1842.14
216,239.99,1056.47,1769.81,1841.14
240,263.99,1055.47,1768.81,1840.14
264,287.99,1054.47,1767.81,1839.14
288,311.99,1053.47,1766.81,1838.14
312,335.99,1052.47,1765.81,1837.14
336,359.99,1051.47,1764.81,1836.14
360,383.99,1050.47,1763.81,1835.14
384,407.99,1049.47,1762.81,1834.14
408,431.99,1048.47,1761.81,1833.14
432,455.99,1047.47,1760.81,1832.14
456,479.99,1046.47,1759.81,1831.14
480,503.99,1045.47,1758.81,1830.14
504,527.99,1044.47,1757.81,1829.14
528,551.99,1043.47,1756.81,1828.14
552,575.99,1042.47,1755.81,1827.14
576,599.99,1041.47,1754.81,1826.14
600,623.99,1040.47,1753.81,1825.14
624,647.99,1039.47,1752.81,1824.14
648,671.99,1038.47,1751.81,1823.14
672,695.99,1037.47,1750.81,1822.14
696,719.99,1036.47,1749.81,1821.14
720,743.99,1035.47,1748.81,1820.14
744,767.99,1034.47,1747.81,1819.14
768,791.99,1033.47,1746.81,1818.14
792,815.99,1032.47,1745.81,1817.14
816,839.99,1031.47,1744.81,1816.14
840,863.99,1030.47,1743.81,1815.14
864,887.99,1029.47,1742.81,1814.14
888,911.99,1028.47,1741.81,1813.14
912,935.99,1027.47,1740.81,1812.14
936,959.99,1026.47,1739.81,1811.14
960,983.99,1025.47,1738.81,1810.14
984,1007.99,1024.47,1737.81,1809.14
1008,1031.99,1023.47,1736.81,1808.14
1032,1055.99,1022.47,1735.81,1807.14
1056,1079.99,1021.47,1734.81,1806.14
1080,1103.99,1020.47,1733.81,1805.14
1104,1127.99,1019.47,1732.81,1804.14
1128,1151.99,1018.47,1731.81,1803.14
1152,1175.99,1017.47,1730.81,1802.14
1176,1199.99,1016.47,1729.81,1801.14
1200,1223.99,1015.47,1728.81,1800.14
1224,1247.99,1014.47,1727.81,1799.14
1248,1271.99,1013.47,1726.81,1798.14
1272,1295.99,1012.47,1725.81,1797.14
1296,1319.99,1011.47,1724.81,1796.14
1320,1343.99,1010.47,1723.81,1795.14
1344,1367.99,1009.47,1722.81,1794.14
1368,1391.99,1008.47,1721.81,1793.14
1392,1415.99,1007.47,1720.81,1792.14
1416,1439.99,1006.47,1719.81,1791.14
1440,1463.99,1005.47,1718.81,1790.14
1464,1487.99,1004.47,1717.81,1789.14
1488,1511.99,1003.47,1716.81,1788.14
1512,1535.99,1002.47,1715.81,1787.14
1536,1559.99,1001.47,1714.81,1786.14
1560,1583.99,1000.47,1713.81,1785.14
1584,1607.99,999.47,1712.81,1784.14
1608,1631.99,998.47,1711.81,1783.14
1632,1655.99,997.47,1710.81,1782.14
1656,1679.99,996.47,1709.81,1781.14
1680,1703.99,995.47,1708.81,1780.14
1704,1727.99,994.47,1707.81,1779.14
1728,1751.99,993.47,1706.81,1778.14
1752,1775.99,992.47,1705.81,1777.14
