Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
0,47.99,641.35,1354.69,1426.02
48,95.99,640.35,1353.69,1425.02
96,143.99,639.35,1352.69,1424.02
144,191.99,638.35,1351.69,1423.02
192,239.99,637.35,1350.69,1422.02
240,287.99,636.35,1349.69,1421.02
288,335.99,635.35,1348.69,1420.02
336,383.99,634.35,1347.69,1419.02
384,431.99,633.35,1346.69,1418.02
432,479.99,632.35,1345.69,1417.02
480,527.99,631.35,1344.69,1416.02
528,575.99,630.35,1343.69,1415.02
576,623.99,629.35,1342.69,1414.02
624,671.99,628.35,1341.69,1413.02
672,719.99,627.35,1340.69,1412.02
720,767.99,626.35,1339.69,1411.02
768,815.99,625.35,1338.69,1410.02
816,863.99,624.35,1337.69,1409.02
864,911.99,623.35,1336.69,1408.02
912,959.99,622.35,1335.69,1407.02
960,1007.99,621.35,1334.69,1406.02
1008,1055.99,620.35,1333.69,1405.02
1056,1103.99,619.35,1332.69,1404.02
1104,1151.99,618.35,1331.69,1403.02
1152,1199.99,617.35,1330.69,1402.02
1200,1247.99,616.35,1329.69,1401.02
1248,1295.99,615.35,1328.69,1400.02
1296,1343.99,614.35,1327.69,1399.02
1344,1391.99,613.35,1326.69,1398.02
1392,1439.99,612.35,1325.69,1397.02
1440,1487.99,611.35,1324.69,1396.02
1488,1535.99,610.35,1323.69,1395.02
1536,1583.99,609.35,1322.69,1394.02
1584,1631.99,608.35,1321.69,1393.02
1632,1679.99,607.35,1320.69,1392.02
1680,1727.99,606.35,1319.69,1391.02
1728,1775.99,605.35,1318.69,1390.02
1776,1823.99,604.35,1317.69,1389.02
1824,1871.99,603.35,1316.69,1388.02
1872,1919.99,602.35,1315.69,1387.02
1920,1967.99,601.35,1314.69,1386.02
1968,2015.99,600.35,1313.69,1385.02
2016,2063.99,599.35,1312.69,1384.02
2064,2111.99,598.35,1311.69,1383.02
2112,2159.99,597.35,1310.69,1382.02
2160,2207.99,596.35,1309.69,1381.02
2208,2255.99,595.35,1308.69,1380.02
2256,2303.99,594.35,1307.69,1379.02
2304,2351.99,593.35,1306.69,1378.02
2352,2399.99,592.35,1305.69,1377.02
2400,2447.99,591.35,1304.69,1376.02
2448,2495.99,590.35,1303.69,1375.02
2496,2543.99,589.35,1302.69,1374.02
2544,2591.99,588.35,1301.69,1373.02
2592,2639.99,587.35,1300.69,1372.02
2640,2687.99,586.35,1299.69,1371.02
2688,2735.99,585.35,1298.69,1370.02
2736,2783.99,584.35,1297.69,1369.02
2784,2831.99,583.35,1296.69,1368.02
2832,2879.99,582.35,1295.69,1367.02
2880,2927.99,581.35,1294.69,1366.02
2928,2975.99,580.35,1293.69,1365.02
2976,3023.99,579.35,1292.69,1364.02
3024,3071.99,578.35,1291.69,1363.02
3072,3119.99,577.35,1290.69,1362.02
3120,3167.99,576.35,1289.69,1361.02
3168,3215.99,575.35,1288.69,1360.02
3216,3263.99,574.35,1287.69,1359.02
3264,3311.99,573.35,1286.69,1358.02
3312,3359.99,572.35,1285.69,1357.02
3360,3407.99,571.35,1284.69,1356.02
3408,3455.99,570.35,1283.69,1355.02
3456,3503.99,569.35,1282.69,1354.02
3504,3551.99,568.35,1281.69,1353.02
3552,3599.99,567.35,1280.69,1352.02
3600,3647.99,566.35,1279.69,1351.02
3648,3695.99,565.35,1278.69,1350.02
3696,3743.99,564.35,1277.69,1349.02
3744,3791.99,563.35,1276.69,1348.02
3792,3839.99,562.35,1275.69,1347.02
3840,3887.99,561.35,1274.69,1346.02
3888,3935.99,560.35,1273.69,1345.02
3936,3983.99,559.35,1272.69,1344.02
3984,4031.99,558.35,1271.69,1343.02
4032,4079.99,557.35,1270.69,1342.02
4080,4095.99,556.35,1269.69,1341.02
4096,4127.99,555.35,1268.69,1340.02
4128,4175.99,554.35,1267.69,1339.02
4176,4191.99,553.35,1266.69,1338.02
4192,4223.99,552.35,1265.69,1337.02
4224,4271.99,551.35,1264.69,1336.02
4272,4287.99,550.35,1263.69,1335.02
