Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
0,4095.99,1065.47,1778.81,1850.14
4096,4191.99,1064.47,1777.81,1849.14
4192,4287.99,1063.47,1776.81,1848.14
4288,4383.99,1062.47,1775.81,1847.14
4384,4479.99,1061.47,1774.81,1846.14
4480,4575.99,1060.47,1773.81,1845.14
4576,4671.99,1059.47,1772.81,1844.14
4672,4767.99,1058.47,1771.81,1843.14
4768,4863.99,1057.47,1770.81,1842.14
4864,4959.99,1056.47,1769.81,1841.14
4960,5055.99,1055.47,1768.81,1840.14
5056,5151.99,1054.47,1767.81,1839.14
5152,5247.99,1053.47,1766.81,1838.14
5248,5343.99,1052.47,1765.81,1837.14
5344,5439.99,1051.47,1764.81,1836.14
5440,5535.99,1050.47,1763.81,1835.14
5536,5631.99,1049.47,1762.81,1834.14
5632,5727.99,1048.47,1761.81,1833.14
5728,5823.99,1047.47,1760.81,1832.14
5824,5919.99,1046.47,1759.81,1831.14
5920,6015.99,1045.47,1758.81,1830.14
6016,6111.99,1044.47,1757.81,1829.14
6112,6207.99,1043.47,1756.81,1828.14
6208,6303.99,1042.47,1755.81,1827.14
6304,6399.99,1041.47,1754.81,1826.14
6400,6495.99,1040.47,1753.81,1825.14
6496,6591.99,1039.47,1752.81,1824.14
6592,6687.99,1038.47,1751.81,1823.14
6688,6783.99,1037.47,1750.81,1822.14
6784,6879.99,1036.47,1749.81,1821.14
6880,6975.99,1035.47,1748.81,1820.14
6976,7071.99,1034.47,1747.81,1819.14
7072,7167.99,1033.47,1746.81,1818.14
7168,7263.99,1032.47,1745.81,1817.14
7264,7359.99,1031.47,1744.81,1816.14
7360,7455.99,1030.47,1743.81,1815.14
7456,7551.99,1029.47,1742.81,1814.14
7552,7647.99,1028.47,1741.81,1813.14
7648,7743.99,1027.47,1740.81,1812.14
7744,7839.99,1026.47,1739.81,1811.14
7840,7935.99,1025.47,1738.81,1810.14
7936,8031.99,1024.47,1737.81,1809.14
8032,8127.99,1023.47,1736.81,1808.14
8128,8223.99,1022.47,1735.81,1807.14
8224,8319.99,1021.47,1734.81,1806.14
8320,8415.99,1020.47,1733.81,1805.14
8416,8511.99,1019.47,1732.81,1804.14
8512,8607.99,1018.47,1731.81,1803.14
8608,8639.99,1017.47,1730.81,1802.14
8640,8687.99,1016.47,1729.81,1801.14
8688,8703.99,1015.47,1728.81,1800.14
8704,8735.99,1014.47,1727.81,1799.14
8736,8783.99,1013.47,1726.81,1798.14
8784,8799.99,1012.47,1725.81,1797.14
8800,8831.99,1011.47,1724.81,1796.14
8832,8879.99,1010.47,1723.81,1795.14
8880,8895.99,1009.47,1722.81,1794.14
8896,8927.99,1008.47,1721.81,1793.14
8928,8975.99,1007.47,1720.81,1792.14
8976,8991.99,1006.47,1719.81,1791.14
8992,9023.99,1005.47,1718.81,1790.14
9024,9071.99,1004.47,1717.81,1789.14
9072,9087.99,1003.47,1716.81,1788.14
9088,9119.99,1002.47,1715.81,1787.14
9120,9167.99,1001.47,1714.81,1786.14
9168,9183.99,1000.47,1713.81,1785.14
9184,9215.99,999.47,1712.81,1784.14
9216,9263.99,998.47,1711.81,1783.14
9264,9279.99,997.47,1710.81,1782.14
9280,9311.99,996.47,1709.81,1781.14
9312,9359.99,995.47,1708.81,1780.14
9360,9375.99,994.47,1707.81,1779.14
9376,9407.99,993.47,1706.81,1778.14
9408,9455.99,992.47,1705.81,1777.14
9456,9471.99,991.47,1704.81,1776.14
9472,9503.99,990.47,1703.81,1775.14
9504,9551.99,989.47,1702.81,1774.14
9552,9567.99,988.47,1701.81,1773.14
9568,9599.99,987.47,1700.81,1772.14
9600,9647.99,986.47,1699.81,1771.14
9648,9663.99,985.47,1698.81,1770.14
9664,9695.99,984.47,1697.81,1769.14
9696,9743.99,983.47,1696.81,1768.14
9744,9759.99,982.47,1695.81,1767.14
9760,9791.99,981.47,1694.81,1766.14
9792,9839.99,980.47,1693.81,1765.14
9840,9855.99,979.47,1692.81,1764.14
9856,9887.99,978.47,1691.81,1763.14
9888,9935.99,977.47,1690.81,1762.14
9936,9951.99,976.47,1689.81,1761.14
