Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,,
"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($),Total Monthly Allowance ($)
"Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) À ($)",Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($),Total mensuel pour l'Allocation  ($)
0,47.99,641.35,1354.69,1426.02,1354.69
48,95.99,641.35,1354.69,1426.02,1351.69
96,143.99,641.35,1354.69,1426.02,1348.69
144,191.99,641.35,1354.69,1426.02,1345.69
192,239.99,641.35,1354.69,1426.02,1342.69
240,287.99,641.35,1354.69,1426.02,1339.69
288,335.99,641.35,1354.69,1426.02,1336.69
336,383.99,641.35,1354.69,1426.02,1333.69
384,431.99,641.35,1354.69,1426.02,1330.69
432,479.99,641.35,1354.69,1426.02,1327.69
480,527.99,641.35,1354.69,1426.02,1324.69
528,575.99,641.35,1354.69,1426.02,1321.69
576,623.99,641.35,1354.69,1426.02,1318.69
624,671.99,641.35,1354.69,1426.02,1315.69
672,719.99,641.35,1354.69,1426.02,1312.69
720,767.99,641.35,1354.69,1426.02,1309.69
768,815.99,641.35,1354.69,1426.02,1306.69
816,863.99,641.35,1354.69,1426.02,1303.69
864,911.99,641.35,1354.69,1426.02,1300.69
912,959.99,641.35,1354.69,1426.02,1297.69
960,1007.99,641.35,1354.69,1426.02,1294.69
1008,1055.99,641.35,1354.69,1426.02,1291.69
1056,1103.99,641.35,1354.69,1426.02,1288.69
1104,1151.99,641.35,1354.69,1426.02,1285.69
1152,1199.99,641.35,1354.69,1426.02,1282.69
1200,1247.99,641.35,1354.69,1426.02,1279.69
1248,1295.99,641.35,1354.69,1426.02,1276.69
1296,1343.99,641.35,1354.69,1426.02,1273.69
1344,1391.99,641.35,1354.69,1426.02,1270.69
1392,1439.99,641.35,1354.69,1426.02,1267.69
1440,1487.99,641.35,1354.69,1426.02,1264.69
1488,1535.99,641.35,1354.69,1426.02,1261.69
1536,1583.99,641.35,1354.69,1426.02,1258.69
1584,1631.99,641.35,1354.69,1426.02,1255.69
1632,1679.99,641.35,1354.69,1426.02,1252.69
1680,1727.99,641.35,1354.69,1426.02,1249.69
1728,1775.99,641.35,1354.69,1426.02,1246.69
1776,1823.99,641.35,1354.69,1426.02,1243.69
1824,1871.99,641.35,1354.69,1426.02,1240.69
1872,1919.99,641.35,1354.69,1426.02,1237.69
1920,1967.99,641.35,1354.69,1426.02,1234.69
1968,2015.99,641.35,1354.69,1426.02,1231.69
2016,2063.99,641.35,1354.69,1426.02,1228.69
2064,2111.99,641.35,1354.69,1426.02,1225.69
2112,2159.99,641.35,1354.69,1426.02,1222.69
2160,2207.99,641.35,1354.69,1426.02,1219.69
2208,2255.99,641.35,1354.69,1426.02,1216.69
2256,2303.99,641.35,1354.69,1426.02,1213.69
2304,2351.99,641.35,1354.69,1426.02,1210.69
2352,2399.99,641.35,1354.69,1426.02,1207.69
2400,2447.99,641.35,1354.69,1426.02,1204.69
2448,2495.99,641.35,1354.69,1426.02,1201.69
2496,2543.99,641.35,1354.69,1426.02,1198.69
2544,2591.99,641.35,1354.69,1426.02,1195.69
2592,2639.99,641.35,1354.69,1426.02,1192.69
2640,2687.99,641.35,1354.69,1426.02,1189.69
2688,2735.99,641.35,1354.69,1426.02,1186.69
2736,2783.99,641.35,1354.69,1426.02,1183.69
2784,2831.99,641.35,1354.69,1426.02,1180.69
2832,2879.99,641.35,1354.69,1426.02,1177.69
2880,2927.99,641.35,1354.69,1426.02,1174.69
2928,2975.99,641.35,1354.69,1426.02,1171.69
2976,3023.99,641.35,1354.69,1426.02,1168.69
3024,3071.99,641.35,1354.69,1426.02,1165.69
3072,3119.99,641.35,1354.69,1426.02,1162.69
3120,3167.99,641.35,1354.69,1426.02,1159.69
3168,3215.99,641.35,1354.69,1426.02,1156.69
3216,3263.99,641.35,1354.69,1426.02,1153.69
3264,3311.99,641.35,1354.69,1426.02,1150.69
3312,3359.99,641.35,1354.69,1426.02,1147.69
3360,3407.99,641.35,1354.69,1426.02,1144.69
3408,3455.99,641.35,1354.69,1426.02,1141.69
3456,3503.99,641.35,1354.69,1426.02,1138.69
3504,3551.99,641.35,1354.69,1426.02,1135.69
3552,3599.99,641.35,1354.69,1426.02,1132.69
3600,3647.99,641.35,1354.69,1426.02,1129.69
3648,3695.99,641.35,1354.69,1426.02,1126.69
3696,3743.99,641.35,1354.69,1426.02,1123.69
3744,3791.99,641.35,1354.69,1426.02,1120.69
3792,3839.99,641.35,1354.69,1426.02,1117.69
3840,3887.99,641.35,1354.69,1426.02,1114.69
3888,3935.99,641.35,1354.69,1426.02,1111.69
3936,3983.99,641.35,1354.69,1426.02,1108.69
3984,4031.99,641.35,1354.69,1426.02,1105.69
4032,4079.99,641.35,1354.69,1426.02,1102.69
4080,4095.99,641.35,1354.69,1426.02,1099.69
4096,4127.99,640.35,1353.69,1425.02,1098.69
4128,4175.99,640.35,1353.69,1425.02,1095.69
4176,4191.99,640.35,1353.69,1425.02,1092.69
4192,4223.99,639.35,1352.69,1424.02,1091.69
4224,4271.99,639.35,1352.69,1424.02,1088.69
4272,4287.99,639.35,1352.69,1424.02,1085.69
4288,4319.99,638.35,1351.69,1423.02,1084.69
4320,4367.99,638.35,1351.69,1423.02,1081.69
4368,4383.99,638.35,1351.69,1423.02,1078.69
4384,4415.99,637.35,1350.69,1422.02,1077.69
4416,4463.99,637.35,1350.69,1422.02,1074.69
4464,4479.99,637.35,1350.69,1422.02,1071.69
4480,4511.99,636.35,1349.69,1421.02,1070.69
4512,4559.99,636.35,1349.69,1421.02,1067.69
4560,4575.99,636.35,1349.69,1421.02,1064.69
4576,4607.99,635.35,1348.69,1420.02,1063.69
4608,4655.99,635.35,1348.69,1420.02,1060.69
4656,4671.99,635.35,1348.69,1420.02,1057.69
4672,4703.99,634.35,1347.69,1419.02,1056.69
4704,4751.99,634.35,1347.69,1419.02,1053.69
4752,4767.99,634.35,1347.69,1419.02,1050.69
4768,4799.99,633.35,1346.69,1418.02,1049.69
4800,4847.99,633.35,1346.69,1418.02,1046.69
4848,4863.99,633.35,1346.69,1418.02,1043.69
4864,4895.99,632.35,1345.69,1417.02,1042.69
4896,4943.99,632.35,1345.69,1417.02,1039.69
4944,4959.99,632.35,1345.69,1417.02,1036.69
4960,4991.99,631.35,1344.69,1416.02,1035.69
4992,5039.99,631.35,1344.69,1416.02,1032.69
5040,5055.99,631.35,1344.69,1416.02,1029.69
5056,5087.99,630.35,1343.69,1415.02,1028.69
5088,5135.99,630.35,1343.69,1415.02,1025.69
5136,5151.99,630.35,1343.69,1415.02,1022.69
5152,5183.99,629.35,1342.69,1414.02,1021.69
5184,5231.99,629.35,1342.69,1414.02,1018.69
5232,5247.99,629.35,1342.69,1414.02,1015.69
5248,5279.99,628.35,1341.69,1413.02,1014.69
5280,5327.99,628.35,1341.69,1413.02,1011.69
5328,5343.99,628.35,1341.69,1413.02,1008.69
5344,5375.99,627.35,1340.69,1412.02,1007.69
5376,5423.99,627.35,1340.69,1412.02,1004.69
5424,5439.99,627.35,1340.69,1412.02,1001.69
5440,5471.99,626.35,1339.69,1411.02,1000.69
5472,5519.99,626.35,1339.69,1411.02,997.69
5520,5535.99,626.35,1339.69,1411.02,994.69
5536,5567.99,625.35,1338.69,1410.02,993.69
5568,5615.99,625.35,1338.69,1410.02,990.69
5616,5631.99,625.35,1338.69,1410.02,987.69
5632,5663.99,624.35,1337.69,1409.02,986.69
5664,5711.99,624.35,1337.69,1409.02,983.69
5712,5727.99,624.35,1337.69,1409.02,980.69
5728,5759.99,623.35,1336.69,1408.02,979.69
5760,5807.99,623.35,1336.69,1408.02,976.69
5808,5823.99,623.35,1336.69,1408.02,973.69
5824,5855.99,622.35,1335.69,1407.02,972.69
5856,5903.99,622.35,1335.69,1407.02,969.69
5904,5919.99,622.35,1335.69,1407.02,966.69
5920,5951.99,621.35,1334.69,1406.02,965.69
5952,5999.99,621.35,1334.69,1406.02,962.69
6000,6015.99,621.35,1334.69,1406.02,959.69
6016,6047.99,620.35,1333.69,1405.02,958.69
6048,6095.99,620.35,1333.69,1405.02,955.69
6096,6111.99,620.35,1333.69,1405.02,952.69
6112,6143.99,619.35,1332.69,1404.02,951.69
6144,6191.99,619.35,1332.69,1404.02,948.69
6192,6207.99,619.35,1332.69,1404.02,945.69
6208,6239.99,618.35,1331.69,1403.02,944.69
6240,6287.99,618.35,1331.69,1403.02,941.69
6288,6303.99,618.35,1331.69,1403.02,938.69
6304,6335.99,617.35,1330.69,1402.02,937.69
6336,6383.99,617.35,1330.69,1402.02,934.69
6384,6399.99,617.35,1330.69,1402.02,931.69
6400,6431.99,616.35,1329.69,1401.02,930.69
6432,6479.99,616.35,1329.69,1401.02,927.69
6480,6495.99,616.35,1329.69,1401.02,924.69
6496,6527.99,615.35,1328.69,1400.02,923.69
6528,6575.99,615.35,1328.69,1400.02,920.69
6576,6591.99,615.35,1328.69,1400.02,917.69
6592,6623.99,614.35,1327.69,1399.02,916.69
6624,6671.99,614.35,1327.69,1399.02,913.69
6672,6687.99,614.35,1327.69,1399.02,910.69
6688,6719.99,613.35,1326.69,1398.02,909.69
6720,6767.99,613.35,1326.69,1398.02,906.69
6768,6783.99,613.35,1326.69,1398.02,903.69
6784,6815.99,612.35,1325.69,1397.02,902.69
6816,6863.99,612.35,1325.69,1397.02,899.69
6864,6879.99,612.35,1325.69,1397.02,896.69
6880,6911.99,611.35,1324.69,1396.02,895.69
6912,6959.99,611.35,1324.69,1396.02,892.69
6960,6975.99,611.35,1324.69,1396.02,889.69
6976,7007.99,610.35,1323.69,1395.02,888.69
7008,7055.99,610.35,1323.69,1395.02,885.69
7056,7071.99,610.35,1323.69,1395.02,882.69
7072,7103.99,609.35,1322.69,1394.02,881.69
7104,7151.99,609.35,1322.69,1394.02,878.69
7152,7167.99,609.35,1322.69,1394.02,875.69
7168,7199.99,608.35,1321.69,1393.02,874.69
7200,7247.99,608.35,1321.69,1393.02,871.69
7248,7263.99,608.35,1321.69,1393.02,868.69
7264,7295.99,607.35,1320.69,1392.02,867.69
7296,7343.99,607.35,1320.69,1392.02,864.69
7344,7359.99,607.35,1320.69,1392.02,861.69
7360,7391.99,606.35,1319.69,1391.02,860.69
7392,7439.99,606.35,1319.69,1391.02,857.69
7440,7455.99,606.35,1319.69,1391.02,854.69
7456,7487.99,605.35,1318.69,1390.02,853.69
7488,7535.99,605.35,1318.69,1390.02,850.69
7536,7551.99,605.35,1318.69,1390.02,847.69
7552,7583.99,604.35,1317.69,1389.02,846.69
7584,7631.99,604.35,1317.69,1389.02,843.69
7632,7647.99,604.35,1317.69,1389.02,840.69
7648,7679.99,603.35,1316.69,1388.02,839.69
7680,7727.99,603.35,1316.69,1388.02,836.69
7728,7743.99,603.35,1316.69,1388.02,833.69
7744,7775.99,602.35,1315.69,1387.02,832.69
